NDA,Generic Name ,Brand Name,Class,Date Approved,Drug(s) Study 1,P/V?,Type,Outcome(s),Source(s),Drug(s) Study 2,P/V?,Type,Outcome(s),Source(s),,
208716,Abemaciclib,Verzenio,CDK4/6 Inhib,28/09/17,None,,,,,,,,,,,
202379,Abiraterone,Zytiga,CYP 17 Inhibitor,28/04/11,None,,,,,,,,,,,
210259,Acalabrutinib,Calquence,TKI (BTK),31/10/17,None,,,,,,,,,,,
216340,Adagrasib,Krazati,KRAS Inhibitor,12/12/22,None,,,,,,,,,,,
201292,Afatinib,Gilotrif,TKI,12/07/13,None,,,,,,,,,,,
208434,Alectinib,Alecensa,TKI,11/12/15,None,,,,,,,,,,,
212526,Alpelisib,"Piqray, Pivikto",PI3K Inhib,24/05/19,None,,,,,,,,,,,
20541,Anastrozole,Arimidex,Aromatase Inhibitor,1995; Label date: 12/13/2018,None,,,,,,,,,,,
210951,Apalutamide,Erleada,Androgen Receptor Inhibitor,14/02/18,None,,,,,,,,,,,
215358,Asciminib,Scemblix,TKI,29/10/21,None,,,,,,,,,,,
212608,Avapritinib,Ayvakit,TKI,09/01/20,None,,,,,,,,,,,
202324,Axitinib,Inlyta,TKI,27/01/12,PPIs,Vic,Outcomes Study,No difference in PFS or ORR,PMID: 28645482,,,,,,,
215383,Belzutifan,Welireg,HIF2A Inhibitor,13/08/21,None,,,,,,,,,,,
21055,Bexarotene,Targretin,RXR Activator,12/29/1999; Label date: 07/29/2015,None,,,,,,,,,,,
20498,Bicalutamide,Casodex,Androgen Receptor Inhibitor,1995; Label date: 11/01/2017,None,,,,,,,,,,,
210498,Binimetinib,Mektovi,TKI,27/06/18,None,,,,,,,,,,,
203341,Bosutinib,Bosulif,"TKI (BCR-ABL, SRC Family)",04/09/12,None,,,,,,,,,,,
208772,Brigatinib,Alunbrig,TKI,28/04/17,None,,,,,,,,,,,
208692,Cabozantinib,Cabometyx,TKI,25/04/16,None,,,,,,,,,,,
20896,Capecitabine,Xeloda,Antimetabolite,1998; Label date: 12/14/2022,None,,,,,,,,,,,
213591,Capmatinib,Tabrecta,TKI,06/05/20,None,,,,,,,,,,,
211225,Ceritinib,Zykadia,TKI,18/03/19,None,,,,,,,,,,,
206192,Cobimetinib,Cotellic,TKI,10/11/15,None,,,,,,,,,,,
202570,Crizotinib,Xalkori,TKI,26/08/11,None,,,,,,,,,,,
202806,Dabrafenib,Tafinlar,"TKI (BRAF, CRAF, SIK1, NEK11, LIMK1)",29/05/13,None,,,,,,,,,,,
211288,Dacomitinib,Vizimpro,TKI,27/09/18,None,,,,,,,,,,,
