NDA,Generic Name ,DDI annotation based on study criteria,Total number of mechanisms per OAD according to study criteria,Additional DDI annotations based on mechanisms that did not meet study criteria but have actionable recommendations in U.S. Food and Drug Administration drug labels ,DDI mechanisms identified by study criteria but do not have actionable FDA recommendations,Final DDI annotation,Brand Name,Class,Date Approved,# of DDI Studies,Drug 1,P/V?,Type,CMaxR,AUCR,Source,Drug 2,P/V?,Type,CMaxR,AUCR,Source,Drug 3,P/V?,Type,CMaxR,AUCR,Source,Drug 4,P/V?,Type,CMaxR,AUCR,Source,Drug 5,P/V?,Type,CMaxR,AUCR,Source,Drug 6,P/V?,Type,CMaxR,AUCR,Source,Drug 7,P/V?,Type,CMaxR,AUCR,Source,Drug 8,P/V?,Type,CMaxR,AUCR,Source,Drug 9,P/V?,Type,CMaxR,AUCR,Source,Drug 10,P/V?,Type,CMaxR,AUCR,Source,Drug 11,P/V?,Type,CMaxR,AUCR,Source,Drug 12,P/V?,Type,CMaxR,AUCR,Source,Drug 13,P/V?,Type,CMaxR,AUCR,Source,Drug 14,P/V?,Type,CMaxR,AUCR,Source,Drug 15,P/V?,Type,CMaxR,AUCR,Source,Drug 16,P/V?,Type,CMaxR,AUCR,Source,Drug 17,P/V?,Type,CMaxR,AUCR,Source,Drug 18,P/V?,Type,CMaxR,AUCR,Source,Drug 19,P/V?,Type,CMaxR,AUCR,Source,Drug 20,P/V?,Type,CMaxR,AUCR,Source,Drug 21,P/V?,Type,CMaxR,AUCR,Source,Drug 22,P/V?,Type,CMaxR,AUCR,Source
208716,Abemaciclib,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers",2,None,None,"Strongly sensitive CYP3A Substrate, victim with strong and moderate inducers",Verzenio,CDK4/6 Inhib,28/09/17,15,Rifampin (M),Vic,DDI,N/A,0.3,FDA Label,Efavirenz,Vic,PBPK,0.49,0.48,"FDA Label, PMID: 32080863",Bosentan,Vic,PBPK,0.4,0.58,"FDA Label, PMID: 32080863",Modafinil,Vic,PBPK,0.66,0.71,"FDA Label, PMID: 32080863",Clarithromycin,Vic,DDI,N/A,2.5,FDA Label,Ketoconazole,Vic,PBPK,2.46,16,"FDA Label, PMID: 32080863",Verapamil,Vic,PBPK,1.63,1.62,"FDA Label, PMID: 32080863",Diltiazem,Vic,PBPK,1.9,2.37,"FDA Label, PMID: 32080863",Loperamide,Both,DDI,1.35 (lop),"1.09 (lop), 0.88 (abema)",FDA Label,Metformin,Perp,DDI,1.22,1.37,FDA Label,"Midazolam, S-Warfarin, Dextromethorphan, Caffeine",Perpetrator,DDI,0.85,0.87,PMID: 32581049,S-Warfarin,Perpetrator,DDI,0.94,1.04,PMID: 32581049,Dextromethorphan,Perpetrator,DDI,1.05,0.98,PMID: 32581049,Caffeine,Perpetrator,DDI,1.01,1.56,PMID: 32581049,Itraconazole,Victim,PBPK,2.17,3.78,PMID: 32080863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202379,Abiraterone,"Moderate CYP2D6 inhibitor, victim with strong inducers",2,None,None,"Moderate CYP2D6 inhibitor, victim with strong inducers",Zytiga,CYP 17 Inhibitor,28/04/11,5,Rifampin (M),Vic,DDI,,0.45,FDA Label,Ketoconazole,Vic,DDI,NC,NC,FDA Label,Dextromethorphan,Perp,DDI,2.8,2.9,FDA Label,Theophylline,Perp,DDI,NC,NC,FDA Label,Pioglitazone,Perp,DDI,,1.46,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210259,Acalabrutinib,"Strongly sensitive CYP3A substrate, Moderately affected by acid reducers (Antacids), victim with strong and moderate inducers",3,"Moderately affected by acid reducers (H2RA, PPIs)",Victim with moderate inducers,"Strongly sensitive CYP3A substrate, Affected by acid reducers (Antacids, H2RA, PPIs), victim with strong and moderate inducers",Calquence,TKI (BTK),31/10/17,13,Rifampin (M),Vic,DDI,0.32,0.23,FDA Label,Itraconazole,Vic,DDI,3.9,5.1,FDA Label,Erythromycin,Vic,PBPK,,2.76,"FDA Label, PMID: 31044521",Fluconazole,Vic,DDI,1.48,2.16,"FDA Label, PMID: 35165925",Diltiazem,Vic,PBPK,,2.28,"FDA Label, PMID: 31044521",Calcium Carbonate,Vic,DDI,,0.47,FDA Label,Omeprazole,Vic,DDI,,0.57,FDA Label,Isavuconazole,Vic,DDI,1.37,1.6,PMID: 35165925,Clarithromycin,Vic,PBPK,,3.34,PMID: 31044521,Fluvoxamine,Vic,PBPK,,1.37,PMID: 31044521,Efavirenz,Vic,PBPK,,0.39,PMID: 31044521,Carbamazepine,Vic,PBPK,,0.39,PMID: 31044521,Ritonavir,Vic,PBPK,3.85,6.54,PMID: 37586436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216340,Adagrasib,"Moderately sensitive CYP3A Substrate,Moderate CYP2C9 Inhibitor, Moderate CYP2D6 Inhibitor, Strong CYP3A Inhibitor, victim with strong inducers",5,P-gp inhibitor,None,"Moderately sensitive CYP3A Substrate,Moderate CYP2C9 Inhibitor, Moderate CYP2D6 Inhibitor, Strong CYP3A Inhibitor, victim with strong inducers, P-gp inhibitor",Krazati,KRAS Inhibitor,12/12/22,9,Rifampin (M),Vic,DDI,0.12,0.05,FDA Label,Efavirenz,Vic,PBPK,0.77,0.75,FDA Label,Itraconazole,Vic,DDI,2.43,3.97,FDA Label,Warfarin,Perp,PBPK,1.05,2.93,FDA Label,Dextromethorphan,Perp,PBPK,1.73,2.37,FDA Label,Midazolam,Perp,PBPK,3.1,31.4,FDA Label,Pantoprazole,Vic,DDI,0.62,0.68,FDA Label,Digoxin,Perp,PBPK,1.9,1.5,FDA Label,Rosuvastatin,Perp,DDI,1.06,1.35,FDA Label,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201292,Afatinib,None,0,P-gp substrate,None,P-gp substrate,Gilotrif,TKI,12/07/13,2,Ritonavir (p-gp effect),Vic,DDI,1.39,1.48,"FDA Label, PMID: 24399452",Rifampin (M),Vic,DDI,0.78,0.66,"FDA Label, PMID: 24399452",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208434,Alectinib,Victim with strong inducers,1,None,Victim with strong inducers ,Victim with strong inducers,Alecensa,TKI,11/12/15,5,Rifampin (M),Vic,DDI,0.49,0.27,"FDA Label, PMID: 27545757",Posaconazole,Vic,DDI,1.18,1.75,"FDA Label, PMID: 27545757",Repaglinide,Perp,PBPK,NC,NC,"FDA Label, PMID: 29226313",Midazolam,Perp,DDI,0.92,0.97,"FDA Label, PMID: 27545757",Esomeprazole,Vic,DDI,1.16,1.22,"FDA Label, PMID: 27545320",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212526,Alpelisib,Victim with strong inducers,1,BCRP substrate,None,"Victim with strong inducers, BCRP substrate","Piqray, Pivikto",PI3K Inhib,24/05/19,5,Rifampin (M),Vic,DDI,0.41,0.26,FDA Label,Efavirenz,Vic,PBPK,N/A,0.7,FDA Label,Ketoconazole,Vic,PBPK,N/A,1.37,FDA Label,Everolimus,Perp,DDI,1.12,0.88,"FDA Label, PMID: 33964572",Rantidine,Vic,DDI,0.49,0.7,"FDA Label, PMID: 33070288",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20541,Anastrozole,None,0,Victim with Tamoxifen,None,Victim with Tamoxifen,Arimidex,Aromatase Inhibitor,1995; Label date: 12/13/2018,7,Tamoxifen,Both,DDI,"0.73 (ana), NC (tam)",,FDA Label,Warfarin,Both,DDI,Ana: NC,"Ana: NC, War: 1.03","FDA Label, PMID: 11422000",Olaparib,Both,DDI,"Ola: 0.87, Ana: 0.87","Ola: 0.80, Ana: 0.84",PMID: 30324586,Levonorgestrel,Perp,DDI,0.94,,PMID: 30791125,Bicalutamide,Perp,DDI,0.85,,PMID: 15838655,Fulvestrant,Vic,DDI,0.75,,PMID: 26859101,Quinapril,Vic,DDI,0.74,,PMID: 14504062,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210951,Apalutamide,"Strong CYP3A inducer, Strong CYP2C19 inducer",2,CYP2C9 inducer,None,"Strong CYP3A inducer, Strong CYP2C19 inducer, CYP2C9 inducer",Erleada,Androgen Receptor Inhibitor,14/02/18,11,Rifampin (M),Vic,PBPK,0.75,0.66,"FDA Label, PMID: 32338346",Gemfibrozil,Vic,DDI,0.79,1.67,FDA Label,Itraconazole,Vic,DDI,0.78,0.99,"FDA Label, PMID: 32338345",Ketoconazole,Vic,PBPK,1.38,1.51,"FDA Label, PMID: 32338346",Midazolam,Perp,DDI,0.23,0.08,"FDA Label, PMID: 32338345",Omeprazole,Perp,DDI,0.33,0.15,"FDA Label, PMID: 32338345",Warfarin,Perp,DDI,0.84,0.54,"FDA Label, PMID: 32338345",Fexofenadine,Perp,DDI,0.93,0.7,"FDA Label, PMID: 32338345",Rosuvastatin,Perp,DDI,1,0.59,"FDA Label, PMID: 32338345",Leuprolide,Perp,DDI,NC,NC,FDA Label,Pioglitazone,Perp,DDI,0.91,0.82,PMID: 32338345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215358,Asciminib,Moderate CYP2C9 Inhibitor,1,"CYP3A inhibitor, BCRP inhibitor ",None,"Moderate CYP2C9 Inhibitor, CYP3A inhibitor, BCRP inhibitor ",Scemblix,TKI,29/10/21,10,Clarithromycin,Vic,DDI,1.19,1.36,"FDA Label, PMID: 35616006",Itraconazole,Vic,DDI,1.04,1.04,"FDA Label, PMID: 35616006",Repaglinide ,Perp,DDI,1.25,1.42,"FDA Label, PMID: 35293131",Rosiglitazone,Perp,DDI,1.08,1.66,FDA Label,S-Warfarin,Perp,DDI,1.07,4.14,"FDA Label, PMID: 35293131",Midazolam,Perp,DDI,1.58,1.88,"FDA Label, PMID: 35293131",Imatinib,Vic,DDI,1.59,2.08,FDA Label,Quinidine,Vic,DDI,0.89,0.87,"FDA Label, PMID: 35616006",Rabeprazole,Vic,DDI,0.91,0.99,"FDA Label, PMID: 35616006",Rifampin (M),Vic,DDI,1.09,0.85,PMID: 35616006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
